id,platform,text,timestamp
1,YouTube,Mi cyaan wait fi di next music festival! 🎶,2025-10-17 14:55:00
2,YouTube,Mi glad fi see di Reggae Boyz win dem match!,2025-10-17 09:50:00
3,Instagram,"Water shortage again, people a suffer.",2025-10-17 02:53:00
4,YouTube,Hope the new law improves public services 📜,2025-10-17 14:41:00
5,X,Did you see that crazy goal last night? ⚽,2025-10-17 03:59:00
6,X,PM's speech today was inspiring! 🙌,2025-10-17 20:18:00
7,Instagram,Government needs to do more for the people 😠,2025-10-16 01:07:00
8,X,Mi glad fi see di Reggae Boyz win dem match!,2025-10-15 12:06:00
9,Instagram,Mi proud a di new youth program 🇯🇲,2025-10-15 04:22:00
10,X,Di bus never show up again 😩,2025-10-17 15:00:00
11,YouTube,"That movie was epic, totally worth it 🎬",2025-10-16 14:16:00
12,YouTube,"Budget proposals are out, what do you think? 💰",2025-10-15 07:21:00
13,X,"Crime rates are going up, stay safe out there 🚨",2025-10-16 17:37:00
14,X,"Di road dem a bad shape, we need fix it.",2025-10-15 20:54:00
15,X,Government needs to do more for the people 😠,2025-10-16 20:46:00
16,Instagram,Cost of living is ridiculous these days 😓,2025-10-17 07:46:00
17,YouTube,"Crime rates are going up, stay safe out there 🚨",2025-10-17 07:14:00
18,Instagram,Hope the new law improves public services 📜,2025-10-17 09:05:00
19,X,"Crime rates are going up, stay safe out there 🚨",2025-10-16 23:26:00
20,YouTube,"Taxes keep going up, when will it stop? 💸",2025-10-17 16:57:00
21,X,Government needs to do more for the people 😠,2025-10-17 20:31:00
22,YouTube,Di bus never show up again 😩,2025-10-15 12:30:00
23,X,Mi proud a di new youth program 🇯🇲,2025-10-17 18:27:00
24,X,"Water shortage again, people a suffer.",2025-10-15 13:12:00
25,Instagram,Training hard for the upcoming marathon 🏃‍♂️,2025-10-15 19:39:00
26,Instagram,"New album just dropped, it's fire 🔥",2025-10-17 17:33:00
27,X,Hope the new law improves public services 📜,2025-10-15 12:52:00
28,X,Did you see that crazy goal last night? ⚽,2025-10-16 07:46:00
29,YouTube,Mi cyaan wait fi di next music festival! 🎶,2025-10-17 09:11:00
30,X,Can’t believe another shooting happened last night 😡,2025-10-16 12:42:00
31,X,"Crime rates are going up, stay safe out there 🚨",2025-10-17 11:56:00
32,X,Government needs to do more for the people 😠,2025-10-16 08:51:00
33,X,"Crime rates are going up, stay safe out there 🚨",2025-10-15 21:25:00
34,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-17 05:53:00
35,YouTube,Di bus never show up again 😩,2025-10-15 10:06:00
36,X,Mi proud a di new youth program 🇯🇲,2025-10-15 10:01:00
37,Instagram,"Crime rates are going up, stay safe out there 🚨",2025-10-15 09:10:00
38,Instagram,The Prime Minister announced new policies today 🇯🇲,2025-10-16 06:58:00
39,Instagram,Di bus never show up again 😩,2025-10-15 07:25:00
40,X,"Crime rates are going up, stay safe out there 🚨",2025-10-17 02:51:00
